network,State,Station_ID,Site_ID,Site_Name,Latitude,Longitude,Elevation_ft,Elevation_m
SNTL    ,MT,14B05S ,783,SLEEPING WOMAN,47.17902,-114.33368,6150,1875
SNTL    ,ID,11G05S ,761,SLUG CREEK DIVIDE,42.56248,-111.29797,7225,2202
SNTL    ,CO,07M30S ,762,SLUMGULLION,37.9908,-107.20327,11440,3487
SNTL    ,ID,13F13S ,926,SMILEY MOUNTAIN,43.72718,-113.83402,9520,2902
SNTL    ,UT,11J53S ,763,SMITH &amp; MOREHOUSE,40.79,-111.1177,7600,2316
SNTL    ,OR,22E11S ,1167,SMITH RIDGE,44.3018,-122.0936,3330,1015
SNTL    ,WY,10E12S ,764,SNAKE RIVER STATION,44.13361,-110.66917,6920,2109
SNTL    ,WY,10G13S ,765,SNIDER BASIN,42.4949,-110.53203,8060,2457
SNTL    ,OR,19F01S ,767,SNOW MOUNTAIN,43.94885,-119.54013,6230,1899
SNTL    ,UT,11J42S ,766,SNOWBIRD,40.564,-111.655,9640,2938
SNTL    ,AZ,11P08S ,927,SNOWSLIDE CANYON,35.3416,-111.65058,9730,2966
SNTL    ,NV,16H11S ,1208,SNOWSTORM MTN,41.3398,-116.9806,7420,2262
SNTL    ,WY,07E05S ,1132,SOLDIER PARK,44.3456,-107.0221,8720,2658
SNTL    ,ID,14F11S ,769,SOLDIER R.S.,43.48407,-114.82692,5740,1750
SNTL    ,ID,11G01S ,770,SOMSEN RANCH,42.95275,-111.35933,6800,2073
SNTL    ,CA,19L07S ,771,SONORA PASS,38.3103,-119.59942,8827,2690
SNTL    ,WA,17C06S ,985,SOURDOUGH GULCH,46.23718,-117.39438,4000,1219
SNTL    ,WY,06H19S ,772,SOUTH BRUSH CREEK,41.32943,-106.50248,8440,2573
SNTL    ,CO,05M13S ,773,SOUTH COLONY,37.96811,-105.53787,10800,3292
SNTL    ,OR,22D03S ,925,SOUTH FORK BULL RUN,45.44575,-122.03125,2690,820
SNTL    ,ID,16G01S ,774,SOUTH MTN.,42.76478,-116.90037,6500,1981
SNTL    ,WY,08G03S ,775,SOUTH PASS,42.57317,-108.84325,9040,2755
SNTL    ,WA,21C20S ,776,SPENCER MEADOW,46.1795,-121.92661,3400,1036
SNTL    ,WA,22C12S ,777,SPIRIT LAKE,46.26113,-122.1772,3520,1073
SNTL    ,UT,10J55S ,1117,SPIRIT LK,40.83878,-110.00523,10223,3116
SNTL    ,CA,19L39S ,778,SPRATT CREEK,38.66625,-119.81755,6115,1864
SNTL    ,WY,10G20S ,779,SPRING CREEK DIVIDE,42.52535,-110.6615,9000,2743
SNTL    ,WA,17C04S ,984,SPRUCE SPRINGS,46.18287,-117.54155,5700,1737
SNTL    ,CO,07M11S ,780,SPUD MOUNTAIN,37.69866,-107.77715,10660,3249
SNTL    ,MT,10C06S ,781,SPUR PARK,46.77962,-110.62165,8100,2469
SNTL    ,ID,16E05S ,782,SQUAW FLAT,44.77083,-116.24861,6240,1902
SNTL    ,UT,12L05S ,1156,SQUAW SPRINGS,38.49728,-112.00683,9105,2775
SNTL    ,CA,20K30S ,784,SQUAW VALLEY G.C.,39.18998,-120.26475,8029,2447
